City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,klaksvik,62.2266,-6.589,280.66,77,31,12.02,FO,1684993501
132,atherton,53.5237,-2.4935,287.53,90,83,0.92,GB,1684993501
133,chinsali,-10.5414,32.0816,291.92,67,31,2.82,ZM,1684993501
134,labytnangi,66.6572,66.4183,291.37,49,17,6.21,RU,1684993227
135,albany,42.6001,-73.9662,280.17,87,45,2.14,US,1684993228
136,thames,-37.1333,175.5333,284.62,86,14,0.53,NZ,1684993502
137,butterworth,5.3991,100.3638,306.18,65,40,4.12,MY,1684993502
138,anahuac,27.2333,-100.15,299.77,65,26,8.64,MX,1684993502
139,sihanoukville,10.6093,103.5296,303.12,79,40,2.06,KH,1684993503
140,leava,-14.3,-178.1667,299.57,85,100,6.55,WF,1684993503
141,nova sintra,14.8667,-24.7167,292.96,82,99,8.28,CV,1684993503
142,gadzhiyevo,69.2551,33.3362,282.56,69,100,7.19,RU,1684993504
143,dengzhou,37.8086,120.7508,295.0,44,100,7.24,CN,1684993504
144,serdar,38.9764,56.2757,307.79,13,3,10.58,TM,1684993504
145,okhotsk,59.3833,143.3,279.33,70,96,5.13,RU,1684993504
146,ilulissat,69.2167,-51.1,271.16,54,94,9.77,GL,1684993505
147,upington,-28.4478,21.2561,289.36,33,0,1.54,ZA,1684993245
148,lodwar,3.1191,35.5973,302.86,45,9,10.14,KE,1684993505
149,hawaiian paradise park,19.5933,-154.9731,294.28,98,100,2.57,US,1684993505
150,utrik,11.2278,169.8474,300.91,79,100,7.2,MH,1684993506
151,constantia,44.1833,28.65,295.76,63,96,1.52,RO,1684993460
152,ketchikan,55.3422,-131.6461,286.41,67,0,2.06,US,1684993506
153,cill airne,52.05,-9.5167,283.63,94,17,1.69,IE,1684993507
154,okha,53.5739,142.9478,274.45,92,97,5.99,RU,1684993507
155,bel air north,39.5543,-76.3731,291.57,80,74,6.4,US,1684993234
156,pangody,65.85,74.4859,284.83,42,0,4.45,RU,1684993507
157,pizarro,4.9533,-77.366,300.84,78,100,3.06,CO,1684993508
158,piti village,13.4626,144.6933,300.18,87,100,15.21,GU,1684993508
159,raja,8.4596,25.678,302.5,46,83,2.38,SS,1684993508
160,yangjiang,21.85,111.9667,304.49,67,90,5.77,CN,1684993509
161,mount gambier,-37.8333,140.7667,283.96,75,88,4.84,AU,1684993509
162,zyryanskoye,56.8306,86.6258,285.05,35,43,4.34,RU,1684993509
163,vodnyy,63.5046,53.4095,297.11,39,92,4.02,RU,1684993509
164,kununurra,-15.7667,128.7333,303.14,17,8,3.6,AU,1684993510
165,puerto ayora,-0.7393,-90.3518,296.79,96,22,0.45,EC,1684993510
166,yangambi,0.8102,24.4336,296.13,94,54,0.53,CD,1684993510
167,sansanne-mango,10.3592,0.4708,298.44,79,97,2.43,TG,1684993510
168,hermanus,-34.4187,19.2345,285.26,96,100,3.05,ZA,1684993511
169,malabar,-33.9667,151.25,293.16,43,0,3.6,AU,1684993511
170,nikolayevsk-on-amure,53.1406,140.73,288.96,49,9,1.82,RU,1684993511
171,siavonga,-16.5382,28.7088,294.21,56,0,2.86,ZM,1684993511
172,miri,4.4148,114.0089,306.23,75,40,3.09,MY,1684993512
173,plouzane,48.3833,-4.6167,285.18,97,100,3.09,FR,1684993512
174,walvis bay,-22.9575,14.5053,286.53,100,100,1.54,NA,1684993512
175,bemidji,47.4736,-94.8803,281.79,68,0,6.17,US,1684993513
176,buka,40.8108,69.1986,300.26,18,0,2.9,UZ,1684993513
177,namibe,-15.1961,12.1522,292.34,80,0,5.02,AO,1684993513
178,joshimath,30.5667,79.5667,290.33,100,100,3.15,IN,1684993513
179,yung shue wan,22.2333,114.1167,303.89,84,78,2.24,HK,1684993514
180,lashio,22.9333,97.75,300.87,59,71,1.58,MM,1684993514
181,nuku'alofa,-21.1333,-175.2,296.34,83,75,2.06,TO,1684993514
182,ust-nera,64.5667,143.2,278.02,79,76,2.35,RU,1684993515
183,bhimunipatnam,17.8833,83.4333,307.88,64,21,8.85,IN,1684993515
184,vila franca do campo,37.7167,-25.4333,289.38,90,48,2.37,PT,1684993515
185,ulladulla,-35.35,150.4667,291.64,39,100,5.81,AU,1684993515
186,yemva,62.59,50.8594,290.22,80,99,1.53,RU,1684993516
187,tolanaro,-25.0319,46.9987,293.19,73,75,1.03,MG,1684993516
188,ust'-ilimsk,58.0006,102.6619,279.01,84,100,6.35,RU,1684993516
189,abatskoye,56.2875,70.4555,294.54,46,98,5.37,RU,1684993516
190,tofol,5.3248,163.0078,301.64,73,48,4.01,FM,1684993517
191,lebu,-37.6167,-73.65,285.2,83,88,4.27,CL,1684993517
192,kavieng,-2.5744,150.7967,300.97,79,100,7.03,PG,1684993517
